date,sector,weight
2018-07-31,XLY,0.120000
2018-07-31,XLP,0.060000
2018-07-31,XLE,0.040000
2018-07-31,XLF,0.120000
2018-07-31,XLV,0.130000
2018-07-31,XLI,0.080000
2018-07-31,XLB,0.030000
2018-07-31,XLK,0.270000
2018-07-31,XLU,0.030000
2018-07-31,XLRE,0.030000
2018-07-31,XLC,0.090000
2018-08-31,XLY,0.120000
2018-08-31,XLP,0.060000
2018-08-31,XLE,0.040000
2018-08-31,XLF,0.120000
2018-08-31,XLV,0.130000
2018-08-31,XLI,0.080000
2018-08-31,XLB,0.030000
2018-08-31,XLK,0.270000
2018-08-31,XLU,0.030000
2018-08-31,XLRE,0.030000
2018-08-31,XLC,0.090000
2018-09-30,XLY,0.120000
2018-09-30,XLP,0.060000
2018-09-30,XLE,0.040000
2018-09-30,XLF,0.120000
2018-09-30,XLV,0.130000
2018-09-30,XLI,0.080000
2018-09-30,XLB,0.030000
2018-09-30,XLK,0.270000
2018-09-30,XLU,0.030000
2018-09-30,XLRE,0.030000
2018-09-30,XLC,0.090000
2018-10-31,XLY,0.120000
2018-10-31,XLP,0.060000
2018-10-31,XLE,0.040000
2018-10-31,XLF,0.120000
2018-10-31,XLV,0.130000
2018-10-31,XLI,0.080000
2018-10-31,XLB,0.030000
2018-10-31,XLK,0.270000
2018-10-31,XLU,0.030000
2018-10-31,XLRE,0.030000
2018-10-31,XLC,0.090000
2018-11-30,XLY,0.120000
2018-11-30,XLP,0.060000
2018-11-30,XLE,0.040000
2018-11-30,XLF,0.120000
2018-11-30,XLV,0.130000
2018-11-30,XLI,0.080000
2018-11-30,XLB,0.030000
2018-11-30,XLK,0.270000
2018-11-30,XLU,0.030000
2018-11-30,XLRE,0.030000
2018-11-30,XLC,0.090000
2018-12-31,XLY,0.120000
2018-12-31,XLP,0.060000
2018-12-31,XLE,0.040000
2018-12-31,XLF,0.120000
2018-12-31,XLV,0.130000
2018-12-31,XLI,0.080000
2018-12-31,XLB,0.030000
2018-12-31,XLK,0.270000
2018-12-31,XLU,0.030000
2018-12-31,XLRE,0.030000
2018-12-31,XLC,0.090000
2019-01-31,XLY,0.120000
2019-01-31,XLP,0.060000
2019-01-31,XLE,0.040000
2019-01-31,XLF,0.120000
2019-01-31,XLV,0.130000
2019-01-31,XLI,0.080000
2019-01-31,XLB,0.030000
2019-01-31,XLK,0.270000
2019-01-31,XLU,0.030000
2019-01-31,XLRE,0.030000
2019-01-31,XLC,0.090000
2019-02-28,XLY,0.120000
2019-02-28,XLP,0.060000
2019-02-28,XLE,0.040000
2019-02-28,XLF,0.120000
2019-02-28,XLV,0.130000
2019-02-28,XLI,0.080000
2019-02-28,XLB,0.030000
2019-02-28,XLK,0.270000
2019-02-28,XLU,0.030000
2019-02-28,XLRE,0.030000
2019-02-28,XLC,0.090000
2019-03-31,XLY,0.120000
2019-03-31,XLP,0.060000
2019-03-31,XLE,0.040000
2019-03-31,XLF,0.120000
2019-03-31,XLV,0.130000
2019-03-31,XLI,0.080000
2019-03-31,XLB,0.030000
2019-03-31,XLK,0.270000
2019-03-31,XLU,0.030000
2019-03-31,XLRE,0.030000
2019-03-31,XLC,0.090000
2019-04-30,XLY,0.120000
2019-04-30,XLP,0.060000
2019-04-30,XLE,0.040000
2019-04-30,XLF,0.120000
2019-04-30,XLV,0.130000
2019-04-30,XLI,0.080000
2019-04-30,XLB,0.030000
2019-04-30,XLK,0.270000
2019-04-30,XLU,0.030000
2019-04-30,XLRE,0.030000
2019-04-30,XLC,0.090000
2019-05-31,XLY,0.120000
2019-05-31,XLP,0.060000
2019-05-31,XLE,0.040000
2019-05-31,XLF,0.120000
2019-05-31,XLV,0.130000
2019-05-31,XLI,0.080000
2019-05-31,XLB,0.030000
2019-05-31,XLK,0.270000
2019-05-31,XLU,0.030000
2019-05-31,XLRE,0.030000
2019-05-31,XLC,0.090000
2019-06-30,XLY,0.120000
2019-06-30,XLP,0.060000
2019-06-30,XLE,0.040000
2019-06-30,XLF,0.120000
2019-06-30,XLV,0.130000
2019-06-30,XLI,0.080000
2019-06-30,XLB,0.030000
2019-06-30,XLK,0.270000
2019-06-30,XLU,0.030000
2019-06-30,XLRE,0.030000
2019-06-30,XLC,0.090000
2019-07-31,XLY,0.120000
2019-07-31,XLP,0.060000
2019-07-31,XLE,0.040000
2019-07-31,XLF,0.120000
2019-07-31,XLV,0.130000
2019-07-31,XLI,0.080000
2019-07-31,XLB,0.030000
2019-07-31,XLK,0.270000
2019-07-31,XLU,0.030000
2019-07-31,XLRE,0.030000
2019-07-31,XLC,0.090000
2019-08-31,XLY,0.120000
2019-08-31,XLP,0.060000
2019-08-31,XLE,0.040000
2019-08-31,XLF,0.120000
2019-08-31,XLV,0.130000
2019-08-31,XLI,0.080000
2019-08-31,XLB,0.030000
2019-08-31,XLK,0.270000
2019-08-31,XLU,0.030000
2019-08-31,XLRE,0.030000
2019-08-31,XLC,0.090000
2019-09-30,XLY,0.120000
2019-09-30,XLP,0.060000
2019-09-30,XLE,0.040000
2019-09-30,XLF,0.120000
2019-09-30,XLV,0.130000
2019-09-30,XLI,0.080000
2019-09-30,XLB,0.030000
2019-09-30,XLK,0.270000
2019-09-30,XLU,0.030000
2019-09-30,XLRE,0.030000
2019-09-30,XLC,0.090000
2019-10-31,XLY,0.120000
2019-10-31,XLP,0.060000
2019-10-31,XLE,0.040000
2019-10-31,XLF,0.120000
2019-10-31,XLV,0.130000
2019-10-31,XLI,0.080000
2019-10-31,XLB,0.030000
2019-10-31,XLK,0.270000
2019-10-31,XLU,0.030000
2019-10-31,XLRE,0.030000
2019-10-31,XLC,0.090000
2019-11-30,XLY,0.120000
2019-11-30,XLP,0.060000
2019-11-30,XLE,0.040000
2019-11-30,XLF,0.120000
2019-11-30,XLV,0.130000
2019-11-30,XLI,0.080000
2019-11-30,XLB,0.030000
2019-11-30,XLK,0.270000
2019-11-30,XLU,0.030000
2019-11-30,XLRE,0.030000
2019-11-30,XLC,0.090000
2019-12-31,XLY,0.120000
2019-12-31,XLP,0.060000
2019-12-31,XLE,0.040000
2019-12-31,XLF,0.120000
2019-12-31,XLV,0.130000
2019-12-31,XLI,0.080000
2019-12-31,XLB,0.030000
2019-12-31,XLK,0.270000
2019-12-31,XLU,0.030000
2019-12-31,XLRE,0.030000
2019-12-31,XLC,0.090000
2020-01-31,XLY,0.120000
2020-01-31,XLP,0.060000
2020-01-31,XLE,0.040000
2020-01-31,XLF,0.120000
2020-01-31,XLV,0.130000
2020-01-31,XLI,0.080000
2020-01-31,XLB,0.030000
2020-01-31,XLK,0.270000
2020-01-31,XLU,0.030000
2020-01-31,XLRE,0.030000
2020-01-31,XLC,0.090000
2020-02-29,XLY,0.120000
2020-02-29,XLP,0.060000
2020-02-29,XLE,0.040000
2020-02-29,XLF,0.120000
2020-02-29,XLV,0.130000
2020-02-29,XLI,0.080000
2020-02-29,XLB,0.030000
2020-02-29,XLK,0.270000
2020-02-29,XLU,0.030000
2020-02-29,XLRE,0.030000
2020-02-29,XLC,0.090000
2020-03-31,XLY,0.120000
2020-03-31,XLP,0.060000
2020-03-31,XLE,0.040000
2020-03-31,XLF,0.120000
2020-03-31,XLV,0.130000
2020-03-31,XLI,0.080000
2020-03-31,XLB,0.030000
2020-03-31,XLK,0.270000
2020-03-31,XLU,0.030000
2020-03-31,XLRE,0.030000
2020-03-31,XLC,0.090000
2020-04-30,XLY,0.120000
2020-04-30,XLP,0.060000
2020-04-30,XLE,0.040000
2020-04-30,XLF,0.120000
2020-04-30,XLV,0.130000
2020-04-30,XLI,0.080000
2020-04-30,XLB,0.030000
2020-04-30,XLK,0.270000
2020-04-30,XLU,0.030000
2020-04-30,XLRE,0.030000
2020-04-30,XLC,0.090000
2020-05-31,XLY,0.120000
2020-05-31,XLP,0.060000
2020-05-31,XLE,0.040000
2020-05-31,XLF,0.120000
2020-05-31,XLV,0.130000
2020-05-31,XLI,0.080000
2020-05-31,XLB,0.030000
2020-05-31,XLK,0.270000
2020-05-31,XLU,0.030000
2020-05-31,XLRE,0.030000
2020-05-31,XLC,0.090000
2020-06-30,XLY,0.120000
2020-06-30,XLP,0.060000
2020-06-30,XLE,0.040000
2020-06-30,XLF,0.120000
2020-06-30,XLV,0.130000
2020-06-30,XLI,0.080000
2020-06-30,XLB,0.030000
2020-06-30,XLK,0.270000
2020-06-30,XLU,0.030000
2020-06-30,XLRE,0.030000
2020-06-30,XLC,0.090000
2020-07-31,XLY,0.120000
2020-07-31,XLP,0.060000
2020-07-31,XLE,0.040000
2020-07-31,XLF,0.120000
2020-07-31,XLV,0.130000
2020-07-31,XLI,0.080000
2020-07-31,XLB,0.030000
2020-07-31,XLK,0.270000
2020-07-31,XLU,0.030000
2020-07-31,XLRE,0.030000
2020-07-31,XLC,0.090000
2020-08-31,XLY,0.120000
2020-08-31,XLP,0.060000
2020-08-31,XLE,0.040000
2020-08-31,XLF,0.120000
2020-08-31,XLV,0.130000
2020-08-31,XLI,0.080000
2020-08-31,XLB,0.030000
2020-08-31,XLK,0.270000
2020-08-31,XLU,0.030000
2020-08-31,XLRE,0.030000
2020-08-31,XLC,0.090000
2020-09-30,XLY,0.120000
2020-09-30,XLP,0.060000
2020-09-30,XLE,0.040000
2020-09-30,XLF,0.120000
2020-09-30,XLV,0.130000
2020-09-30,XLI,0.080000
2020-09-30,XLB,0.030000
2020-09-30,XLK,0.270000
2020-09-30,XLU,0.030000
2020-09-30,XLRE,0.030000
2020-09-30,XLC,0.090000
2020-10-31,XLY,0.120000
2020-10-31,XLP,0.060000
2020-10-31,XLE,0.040000
2020-10-31,XLF,0.120000
2020-10-31,XLV,0.130000
2020-10-31,XLI,0.080000
2020-10-31,XLB,0.030000
2020-10-31,XLK,0.270000
2020-10-31,XLU,0.030000
2020-10-31,XLRE,0.030000
2020-10-31,XLC,0.090000
2020-11-30,XLY,0.120000
2020-11-30,XLP,0.060000
2020-11-30,XLE,0.040000
2020-11-30,XLF,0.120000
2020-11-30,XLV,0.130000
2020-11-30,XLI,0.080000
2020-11-30,XLB,0.030000
2020-11-30,XLK,0.270000
2020-11-30,XLU,0.030000
2020-11-30,XLRE,0.030000
2020-11-30,XLC,0.090000
2020-12-31,XLY,0.120000
2020-12-31,XLP,0.060000
2020-12-31,XLE,0.040000
2020-12-31,XLF,0.120000
2020-12-31,XLV,0.130000
2020-12-31,XLI,0.080000
2020-12-31,XLB,0.030000
2020-12-31,XLK,0.270000
2020-12-31,XLU,0.030000
2020-12-31,XLRE,0.030000
2020-12-31,XLC,0.090000
2021-01-31,XLY,0.120000
2021-01-31,XLP,0.060000
2021-01-31,XLE,0.040000
2021-01-31,XLF,0.120000
2021-01-31,XLV,0.130000
2021-01-31,XLI,0.080000
2021-01-31,XLB,0.030000
2021-01-31,XLK,0.270000
2021-01-31,XLU,0.030000
2021-01-31,XLRE,0.030000
2021-01-31,XLC,0.090000
2021-02-28,XLY,0.120000
2021-02-28,XLP,0.060000
2021-02-28,XLE,0.040000
2021-02-28,XLF,0.120000
2021-02-28,XLV,0.130000
2021-02-28,XLI,0.080000
2021-02-28,XLB,0.030000
2021-02-28,XLK,0.270000
2021-02-28,XLU,0.030000
2021-02-28,XLRE,0.030000
2021-02-28,XLC,0.090000
2021-03-31,XLY,0.120000
2021-03-31,XLP,0.060000
2021-03-31,XLE,0.040000
2021-03-31,XLF,0.120000
2021-03-31,XLV,0.130000
2021-03-31,XLI,0.080000
2021-03-31,XLB,0.030000
2021-03-31,XLK,0.270000
2021-03-31,XLU,0.030000
2021-03-31,XLRE,0.030000
2021-03-31,XLC,0.090000
2021-04-30,XLY,0.120000
2021-04-30,XLP,0.060000
2021-04-30,XLE,0.040000
2021-04-30,XLF,0.120000
2021-04-30,XLV,0.130000
2021-04-30,XLI,0.080000
2021-04-30,XLB,0.030000
2021-04-30,XLK,0.270000
2021-04-30,XLU,0.030000
2021-04-30,XLRE,0.030000
2021-04-30,XLC,0.090000
2021-05-31,XLY,0.120000
2021-05-31,XLP,0.060000
2021-05-31,XLE,0.040000
2021-05-31,XLF,0.120000
2021-05-31,XLV,0.130000
